type,signal_1,signal_2,signal_3,signal_4,signal_5,signal_6,signal_7,signal_8,signal_9,signal_10,signal_11,signal_12,signal_13,signal_14,signal_15,signal_16,signal_17,signal_18,signal_19,signal_20,qqbar_1,qqbar_2,qqbar_3,qqbar_4,qqbar_5,qqbar_6,qqbar_7,qqbar_8,qqbar_9,qqbar_10,qqbar_11,qqbar_12,qqbar_13,qqbar_14,qqbar_15,qqbar_16,qqbar_17,qqbar_18,qqbar_19,qqbar_20,BBbar_1,BBbar_2,BBbar_3,BBbar_4,BBbar_5,BBbar_6,BBbar_7,BBbar_8,BBbar_9,BBbar_10,BBbar_11,BBbar_12,BBbar_13,BBbar_14,BBbar_15,BBbar_16,BBbar_17,BBbar_18,BBbar_19,BBbar_20,misID_1,misID_2,misID_3,misID_4,misID_5,misID_6,misID_7,misID_8,misID_9,misID_10,misID_11,misID_12,misID_13,misID_14,misID_15,misID_16,misID_17,misID_18,misID_19,misID_20
u, 0.063, 0.063, 0.054, 0.066, 0.043, 0.038, 0.027, 0.016, 0.009, 0.007, 0.008, 0.029, 0.074, 0.089, 0.134, 0.086, 0.123, 0.201, 0.287, 0.225, 0.037, 0.037, 0.025, 0.035, 0.025, 0.036, 0.021, 0.032, 0.033, 0.039, 0.035, 0.057, 0.056, 0.057, 0.082, 0.070, 0.093, 0.100, 0.105, 0.125, 0.193, 0.172, 0.208, 0.135, 0.094, 0.118, 0.529, 0.104, 0.054, 0.047, 0.026, 0.172, 0.178, 0.181, 0.246, 0.000, 0.000, 0.000, 0.000, 0.276, 1.105, 0.826, 0.613, 0.438, 0.507, 0.311, 0.276, 0.215, 0.067, 0.027, 0.015, 0.025, 0.186, 0.385, 0.876, 0.673, 0.621, 1.508, 2.850, 1.500
c1,-0.042,-0.037,-0.029,-0.021,-0.017,-0.010,-0.003,-0.002, 0.003, 0.003, 0.004, 0.002, 0.004, 0.005, 0.025, 0.009, 0.039, 0.001, 0.028, 0.038,-0.095,-0.082,-0.082,-0.054,-0.056,-0.044,-0.039,-0.032,-0.023,-0.004, 0.010, 0.019, 0.022, 0.042, 0.029, 0.042, 0.056, 0.061, 0.058, 0.064,-0.149,-0.093,-0.057,-0.050,-0.043,-0.026,-0.051,-0.016,-0.002, 0.006, 0.000, 0.035, 0.006, 0.011,-0.010, 0.000, 0.000, 0.000, 0.000,-0.041,-0.471,-0.393,-0.182,-0.265,-0.222,-0.105,-0.071,-0.058, 0.030, 0.005,-0.003,-0.002, 0.077, 0.123, 0.303, 0.049,-0.027, 0.063, 0.059, 0.627
c2,-0.001,-0.003,-0.002,-0.003,-0.002,-0.001,-0.000,-0.001,-0.000,-0.001,-0.002,-0.002,-0.004,-0.004,-0.005,-0.000,-0.008,-0.009,-0.024,-0.014, 0.016,-0.002, 0.015, 0.005, 0.012, 0.000, 0.017,-0.008,-0.003, 0.000, 0.000, 0.032, 0.006, 0.026,-0.018, 0.014, 0.015, 0.014, 0.010,-0.005, 0.041,-0.078, 0.043, 0.100,-0.022,-0.041, 0.169, 0.018,-0.016,-0.004, 0.000,-0.035,-0.016,-0.003,-0.007, 0.000, 0.000, 0.000, 0.000,-0.021, 0.654, 0.452, 0.489, 0.400, 0.527, 0.255, 0.291, 0.283, 0.198, 0.040,-0.054,-0.009, 0.207, 0.455, 0.830, 0.152,-0.454,-0.534,-1.232, 1.055
c3, 0.003, 0.002, 0.002,-0.001, 0.001,-0.000,-0.001,-0.000, 0.000, 0.001, 0.000,-0.001,-0.002,-0.001,-0.006, 0.002,-0.007,-0.004, 0.001,-0.003, 0.015, 0.011, 0.015,-0.004, 0.011,-0.007, 0.004,-0.002,-0.000,-0.008,-0.013, 0.009, 0.000, 0.016,-0.024,-0.000,-0.017, 0.013,-0.011, 0.005,-0.035, 0.058,-0.084,-0.051,-0.008,-0.027, 0.004,-0.007, 0.011,-0.006, 0.000,-0.033, 0.010, 0.014, 0.002, 0.000, 0.000, 0.000, 0.000, 0.011, 0.064, 0.086, 0.294,-0.144, 0.274, 0.173,-0.027, 0.014,-0.130,-0.177,-0.053, 0.262, 0.756, 0.804, 1.151, 0.681,-0.173,-0.021, 0.601, 0.608
c4,-0.142,-0.137,-0.146,-0.142,-0.155,-0.160,-0.164,-0.173,-0.181,-0.182,-0.177,-0.164,-0.148,-0.160,-0.144,-0.192,-0.166,-0.196,-0.150,-0.166,-0.120,-0.120,-0.126,-0.135,-0.135,-0.140,-0.152,-0.150,-0.153,-0.147,-0.156,-0.151,-0.152,-0.149,-0.139,-0.147,-0.143,-0.131,-0.125,-0.127,-0.114,-0.124,-0.168,-0.142,-0.163,-0.158,-0.159,-0.155,-0.182,-0.180,-0.177,-0.148,-0.183,-0.147,-0.167, 0.000, 0.000, 0.000, 0.000,-0.094,-0.147,-0.115,-0.054,-0.062,-0.034,-0.007,-0.023,-0.023,-0.005, 0.001, 0.010, 0.012, 0.014, 0.016,-0.001, 0.067, 0.057, 0.132,-0.061, 0.030
c5,-0.011,-0.010,-0.011,-0.011,-0.011,-0.012,-0.012,-0.011,-0.010,-0.010,-0.009,-0.010,-0.013,-0.012,-0.012,-0.007,-0.009,-0.023,-0.012,-0.008,-0.050,-0.059,-0.050,-0.055,-0.066,-0.067,-0.058,-0.058,-0.068,-0.079,-0.085,-0.078,-0.078,-0.088,-0.093,-0.075,-0.064,-0.091,-0.075,-0.078,-0.113,-0.092,-0.129,-0.079,-0.038,-0.067,-0.138,-0.013,-0.031,-0.039,-0.009,-0.055,-0.002, 0.004,-0.015, 0.000, 0.000, 0.000, 0.000, 0.014,-0.921,-1.290,-1.594,-1.529,-1.665,-1.741,-1.804,-1.808,-1.875,-1.866,-1.923,-1.973,-2.083,-2.093,-2.108,-1.897,-1.762,-1.441,-1.503,-1.730
