,p_min,p_max,cosTheta_min,cosTheta_max,data_MC_ratio,data_MC_uncertainty_stat_up,data_MC_uncertainty_stat_dn,data_MC_uncertainty_sys_up,data_MC_uncertainty_sys_dn,data_efficiency,data_uncertainty_stat_up,data_uncertainty_stat_dn,data_uncertainty_sys_up,data_uncertainty_sys_dn,MC_efficiency,MC_uncertainty_stat_up,MC_uncertainty_stat_dn,MC_uncertainty_sys_up,MC_uncertainty_sys_dn,threshold,variable
11,0.9,1.3,-0.1045,0.225,1.2093101174454324,0.029972004946575072,0.029972004946575072,0.00320785113989297,0.00320785113989297,0.0145603694154467,0.0003120210893135194,0.0003120210893135194,5.938632311672243e-06,5.938632311672243e-06,0.012040227899692328,0.00025229912793419513,0.00025229912793419513,0.00036929450933990797,0.00036929450933990797,0.9,kaonID
12,0.9,1.3,0.225,0.5,1.3660506635145195,0.02384800524004237,0.02384800524004237,0.002190505937399223,0.002190505937399223,0.021336876344592744,0.0003529207381428649,0.0003529207381428649,2.2247614092165552e-05,2.2247614092165552e-05,0.01561938873460088,0.00026833641862545287,0.00026833641862545287,0.0004294432368485198,0.0004294432368485198,0.9,kaonID
13,0.9,1.3,0.5,0.766,1.36317879590564,0.01773427801948679,0.01773427801948679,0.002207907821601962,0.002207907821601962,0.027240372909345098,0.00033668734993896795,0.00033668734993896795,1.130284014855265e-05,1.130284014855265e-05,0.019982978748761794,0.0002541363065536382,0.0002541363065536382,0.0003452399943243978,0.0003452399943243978,0.9,kaonID
14,0.9,1.3,0.766,0.8829,0.797322052903053,0.0141752078470643,0.0141752078470643,0.0011896594617153422,0.0011896594617153422,0.04845583843087723,0.0005469166467045829,0.0005469166467045829,9.507924391814748e-05,9.507924391814748e-05,0.06077323241524465,0.0005211714806306809,0.0005211714806306809,0.0007187534038995066,0.0007187534038995066,0.9,kaonID
15,0.9,1.3,0.8829,0.9563,0.5732534766045724,0.014727674482552735,0.014727674482552735,0.0006852795461304018,0.0006852795461304018,0.07517825096461565,0.0009428780395999432,0.0009428780395999432,0.00010346056553311998,0.00010346056553311998,0.13114312260241776,0.0010124823405653197,0.0010124823405653197,0.002208069468302848,0.002208069468302848,0.9,kaonID
16,1.3,1.7000000000000002,-0.866,-0.682,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,kaonID
17,1.3,1.7000000000000002,-0.682,-0.4226,4.288081392475148,0.08490685588611417,0.08490685588611417,0.09888306703059158,0.09888306703059158,0.015276102672348961,0.0005537218656907725,0.0005537218656907725,0.00013257840960711337,0.00013257840960711337,0.00356245632351007,0.0002735281383894209,0.0002735281383894209,0.0005054996628183644,0.0005054996628183644,0.9,kaonID
18,1.3,1.7000000000000002,-0.4226,-0.1045,1.2495640479688033,0.06459387383955055,0.06459387383955055,0.010359688683317714,0.010359688683317714,0.008774364000835744,0.0003952579870428775,0.0003952579870428775,0.000195214545333236,0.000195214545333236,0.0070219401839375,0.00032507445612307893,0.00032507445612307893,0.0006221091563738713,0.0006221091563738713,0.9,kaonID
19,1.3,1.7000000000000002,-0.1045,0.225,1.3388010486234168,0.05011265235775579,0.05011265235775579,0.006131867735309715,0.006131867735309715,0.011568850113335631,0.0003974002152000625,0.0003974002152000625,0.00016670393006241492,0.00016670393006241492,0.008641201861345243,0.0003152907748481414,0.0003152907748481414,0.0003682910961659673,0.0003682910961659673,0.9,kaonID
20,1.3,1.7000000000000002,0.225,0.5,1.516527813992663,0.03484870139571442,0.03484870139571442,0.002733874077060605,0.002733874077060605,0.021608863407677956,0.0004939845110871529,0.0004939845110871529,0.00011503191855124009,0.00011503191855124009,0.014248906751526616,0.00037478685725468586,0.00037478685725468586,6.811069246468252e-05,6.811069246468252e-05,0.9,kaonID
