,p_min,p_max,cosTheta_min,cosTheta_max,data_MC_ratio,data_MC_uncertainty_stat_up,data_MC_uncertainty_stat_dn,data_MC_uncertainty_sys_up,data_MC_uncertainty_sys_dn,data_efficiency,data_uncertainty_stat_up,data_uncertainty_stat_dn,data_uncertainty_sys_up,data_uncertainty_sys_dn,MC_efficiency,MC_uncertainty_stat_up,MC_uncertainty_stat_dn,MC_uncertainty_sys_up,MC_uncertainty_sys_dn,threshold,variable
10,0.9,1.3,-0.4226,-0.1045,0.9795628134835405,0.0028617968371267427,0.0028617968371267427,0.00012559762852248912,0.00012559762852248912,0.8563425769643483,0.0018529099856722977,0.0018529099856722977,0.0016284141056894796,0.0016284141056894796,0.8742089482950114,0.0016373804006012103,0.0016373804006012103,0.005631037600982269,0.005631037600982269,0.9,kaonID
11,0.9,1.3,-0.1045,0.225,0.9583035985540432,0.003122553600660794,0.003122553600660794,1.6031771183477872e-05,1.6031771183477872e-05,0.7967844772663775,0.00190497996824128,0.00190497996824128,0.0016110437256544596,0.0016110437256544596,0.8314530786158193,0.0016700103980270167,0.0016700103980270167,0.004222314724520282,0.004222314724520282,0.9,kaonID
12,0.9,1.3,0.225,0.5,0.9438085061497565,0.0034286740195747195,0.0034286740195747195,0.00018057584817665617,0.00018057584817665617,0.7649395195189451,0.002021677582371568,0.002021677582371568,0.001800477943093237,0.001800477943093237,0.810481696800442,0.0017702587047940675,0.0017702587047940675,0.004980262105624633,0.004980262105624633,0.9,kaonID
13,0.9,1.3,0.5,0.766,0.9624926276084048,0.0030000966964489986,0.0030000966964489986,4.406233613862831e-05,4.406233613862831e-05,0.8163953598680663,0.0018676436269959551,0.0018676436269959551,0.001985638885848906,0.001985638885848906,0.8482094682601777,0.0016463008581212,0.0016463008581212,0.0023819275336957046,0.0023819275336957046,0.9,kaonID
14,0.9,1.3,0.766,0.8829,0.9580123981775476,0.004446752045338077,0.004446752045338077,0.00023108041014374692,0.00023108041014374692,0.8098021175265401,0.0027554055926008866,0.0027554055926008866,0.002269186991359917,0.002269186991359917,0.845293984782502,0.0024199845098591454,0.0024199845098591454,0.002022295200172386,0.002022295200172386,0.9,kaonID
15,0.9,1.3,0.8829,0.9563,1.009851214898805,0.005786085587253696,0.005786085587253696,0.00046844759824149484,0.00046844759824149484,0.8506622608334327,0.0035981444335571582,0.0035981444335571582,0.002485127495800765,0.002485127495800765,0.8423639525142084,0.0033257321577272333,0.0033257321577272333,0.00026322944598999864,0.00026322944598999864,0.9,kaonID
16,1.3,1.7000000000000002,-0.866,-0.682,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,kaonID
17,1.3,1.7000000000000002,-0.682,-0.4226,0.9413767207456518,0.008368092891026349,0.008368092891026349,0.00043599322247878103,0.00043599322247878103,0.4186255732744356,0.002629691421417691,0.002629691421417691,0.0010502683678904612,0.0010502683678904612,0.4446950557082482,0.002458519806732219,0.002458519806732219,0.0042172400085894735,0.0042172400085894735,0.9,kaonID
18,1.3,1.7000000000000002,-0.4226,-0.1045,0.9773589363019954,0.0027054092987393074,0.0027054092987393074,1.3279777053676334e-05,1.3279777053676334e-05,0.8556150729671962,0.0017533506152520172,0.0017533506152520172,0.0011879790555631153,0.0011879790555631153,0.8754358723158168,0.0015463039876742121,0.0015463039876742121,0.004703599799209313,0.004703599799209313,0.9,kaonID
19,1.3,1.7000000000000002,-0.1045,0.225,0.9442740023301858,0.0030003311576365086,0.0030003311576365086,0.00013509039479531193,0.00013509039479531193,0.7948250681165825,0.0018614123285308705,0.0018614123285308705,0.0011751215122037806,0.0011751215122037806,0.8417313895703916,0.0015786500359900486,0.0015786500359900486,0.004850542819648029,0.004850542819648029,0.9,kaonID
